"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX11L1",55.1116550073486,0.0475780449087772,0.077262009497773,0.626689831053265,0.530862570899157,NA
"WASH7P",2741.93282022751,0.00141608180941046,0.0906021935041903,0.0156372386990529,0.987523797124088,0.999375174599906
"MIR6859-3",136.115342747702,0.151605125424313,0.083837036713521,1.98677847172161,0.0469469513298437,NA
"MIR6859-2",136.115342747702,0.151605125424313,0.083837036713521,1.98677847172161,0.0469469513298437,NA
"MIR6859-1",136.115342747702,0.151605125424313,0.083837036713521,1.98677847172161,0.0469469513298437,NA
"MIR6859-4",136.115342747702,0.151605125424313,0.083837036713521,1.98677847172161,0.0469469513298437,NA
"MIR1302-2",0.709449687112923,0.00941354637691492,0.0172558390069026,0.590765403471361,0.554677618711967,NA
"MIR1302-11",0.709449687112923,0.00941354637691492,0.0172558390069026,0.590765403471361,0.554677618711967,NA
"MIR1302-9",0.709449687112923,0.00941354637691492,0.0172558390069026,0.590765403471361,0.554677618711967,NA
"MIR1302-10",0.709449687112923,0.00941354637691492,0.0172558390069026,0.590765403471361,0.554677618711967,NA
"LOC729737",770.921222805589,-0.00115557976264588,0.102713939736009,-0.0112576487183808,0.991017885621256,0.999375174599906
"OR4F29",3.58979897282961,-0.0349535871430318,0.0332735649015333,-1.41530342927145,0.156979549984304,NA
"OR4F3",3.58979897282961,-0.0349535871430318,0.0332735649015333,-1.41530342927145,0.156979549984304,NA
"OR4F16",3.58979897282961,-0.0349535871430318,0.0332735649015333,-1.41530342927145,0.156979549984304,NA
"LOC100132287",1053.38792737038,0.00568786211014045,0.0557600837327094,0.102131374044301,0.918652398326871,0.999375174599906
"LOC100132062",1053.38792737038,0.00568786211014045,0.0557600837327094,0.102131374044301,0.918652398326871,0.999375174599906
"LOC101928626",16.6820857212369,-0.0181512659219167,0.0464026580091966,-0.393202215369277,0.69417013360032,NA
"MIR6723",3665.07528232519,-0.00996703172987414,0.052385534952974,-0.190912563988947,0.84859409658039,0.999375174599906
"LOC100133331",677.894436472051,0.0287668770725676,0.106556375253203,0.270472591147838,0.786796700475299,0.999375174599906
"LOC100288069",119.861638281352,-0.00726630933871434,0.110404881247856,-0.0660823127917303,0.947312292415457,NA
"FAM87B",9.247631735663,-0.0601162606856045,0.0715571925856526,-0.86232348026884,0.388509535314361,NA
"LINC00115",38.0126848968783,0.0301801508999883,0.0872542317972144,0.343953733165353,0.730881081102071,NA
"LINC01128",729.629117747958,0.0760723891460332,0.141061362346326,0.539752096360226,0.589368007148641,0.999375174599906
"FAM41C",19.9857319383587,0.0270384905892457,0.0563355292029532,0.48192080548818,0.629862205647121,NA
"LOC100130417",7.37528280799665,-0.0274446511829752,0.0547181460734757,-0.501408277558038,0.616083815416369,NA
"SAMD11",842.722304394253,-0.0240265233166122,0.138156732232453,-0.173737836375474,0.862071500571853,0.999375174599906
"NOC2L",14068.9505099551,-0.0166780336094275,0.145057973769514,-0.114979921509146,0.908461036795732,0.999375174599906
"KLHL17",1510.78907111428,-0.221804195800452,0.118026163637017,-1.87887547615941,0.0602614981354725,0.630482530757408
"PLEKHN1",168.154852415532,-0.120211611769666,0.14419089115719,-0.83216063637814,0.40531827935202,NA
"PERM1",41.8254396897931,-0.041176225815056,0.0591245481874173,-0.713842470822101,0.475324594199028,NA
